Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41
us;cn;eu;gb;ca;au;jp;kr;ru;ae;br;ch;cl;co;cr;hk;id;il;in;kw;kz;mx;my;no;nz;pe;ph;pl;qa;sa;sg;th;tw;ua;uy;vn;za;by;ar;eg;np
USD;CNY;EUR;GBP;CAD;AUD;JPY;KRW;RUB;AED;BRL;CHF;CLP;COP;CRC;HKD;IDR;ILS;INR;KWD;KZT;MXN;MYR;NOK;NZD;PEN;PHP;PLN;QAR;SAR;SGD;THB;TWD;UAH;UYU;VND;ZAR;USD;USD;USD;USD
8.99;36.00;8.79;7.49;11.79;13.19;1000.00;9900.00;350.00;26.00;29.99;9.99;5200.00;23500.00;4200.00;58.00;82499.00;32.95;450.00;1.85;2600.00;112.99;24.50;99.00;13.25;21.00;304.95;40.99;21.99;20.50;9.00;199.00;172.00;206.00;279.00;129000.00;91.00;5.79;4.99;4.99;4.99
9.99;42.00;9.75;8.50;12.99;14.50;1200.00;11000.00;385.00;29.00;32.99;10.99;5750.00;26000.00;4600.00;66.00;90999.00;36.95;480.00;1.95;2900.00;123.99;26.75;110.00;14.75;23.00;335.00;45.99;24.99;22.49;10.00;220.00;188.00;225.00;310.00;142000.00;100.00;6.29;5.79;5.79;5.49
10.99;46.00;10.79;9.29;13.99;16.25;1300.00;12500.00;420.00;32.00;35.79;12.19;6299.00;28500.00;5000.00;72.00;99999.00;40.95;530.00;2.15;3100.00;135.99;29.50;119.00;16.29;24.00;370.00;49.99;26.99;24.95;11.00;239.00;198.00;245.00;338.00;155000.00;109.00;6.69;6.29;6.29;5.89
11.99;48.00;11.79;9.99;15.49;17.75;1400.00;13500.00;460.00;34.00;38.49;13.29;6800.00;30500.00;5200.00;78.00;106999.00;43.95;570.00;2.25;3400.00;145.99;32.00;134.00;17.49;27.50;395.00;54.99;28.99;26.75;12.00;259.00;226.00;265.00;369.00;170000.00;118.00;6.99;6.59;6.59;6.19
12.99;52.00;12.79;10.99;16.99;18.95;1500.00;14500.00;490.00;37.00;41.99;14.50;7300.00;33000.00;5800.00;83.00;114999.00;47.95;610.00;2.45;3600.00;157.99;34.00;145.00;18.99;29.50;424.00;59.99;30.99;28.75;13.00;275.00;238.00;285.00;399.00;180000.00;127.00;7.49;7.29;7.29;6.49
13.99;56.00;13.79;11.79;17.99;20.50;1600.00;15500.00;520.00;39.00;44.49;15.49;7800.00;35000.00;6000.00;89.00;122999.00;51.95;650.00;2.60;3800.00;169.99;36.00;155.00;20.49;31.50;460.00;63.99;32.99;30.95;14.00;295.00;248.00;310.00;425.00;192000.00;135.00;7.99;7.79;7.79;6.79
14.99;58.00;14.79;12.79;19.49;21.95;1700.00;16500.00;550.00;42.00;46.99;16.79;8300.00;37500.00;6500.00;95.00;130999.00;55.95;690.00;2.80;4100.00;178.99;38.50;165.00;21.99;33.50;485.00;67.99;33.99;32.95;14.50;315.00;268.00;325.00;455.00;205000.00;145.00;8.49;7.99;7.99;6.99
15.99;62.00;15.79;13.49;20.79;23.50;1800.00;17500.00;590.00;43.00;49.99;17.79;8800.00;39500.00;6900.00;102.00;139999.00;58.95;730.00;2.90;4300.00;188.99;40.50;179.00;23.49;36.00;509.00;72.99;35.99;34.49;15.00;330.00;278.00;340.00;485.00;215000.00;155.00;8.99;8.49;8.49;7.29
16.99;66.00;16.49;14.29;21.99;24.95;1900.00;18500.00;620.00;45.00;52.49;18.99;9200.00;41500.00;7400.00;108.00;145999.00;62.95;770.00;3.00;4500.00;198.99;43.00;190.00;24.99;37.50;539.00;77.99;37.99;36.49;16.00;349.00;288.00;360.00;510.00;226000.00;160.00;9.49;8.99;8.99;7.49
17.99;68.00;17.49;14.99;23.49;26.50;2000.00;19500.00;650.00;48.00;54.99;19.99;9700.00;43500.00;7800.00;113.00;152999.00;66.95;810.00;3.15;4800.00;208.99;45.00;200.00;26.29;39.50;565.00;82.99;38.99;38.49;17.00;369.00;298.00;375.00;540.00;239000.00;168.00;9.89;9.29;9.29;7.79
18.99;72.00;18.49;15.89;24.79;27.95;2100.00;20500.00;680.00;50.00;57.99;20.99;10000.00;45500.00;8100.00;119.00;159999.00;69.95;850.00;3.25;5000.00;218.99;47.00;210.00;27.49;41.00;590.00;86.99;40.99;39.99;18.00;385.00;310.00;395.00;569.00;249000.00;176.00;10.29;9.89;9.89;7.99
19.99;76.00;19.50;16.75;25.99;29.50;2300.00;21500.00;710.00;53.00;59.99;21.99;10500.00;47500.00;8500.00;125.00;165999.00;73.95;880.00;3.35;5200.00;227.99;49.00;220.00;28.99;43.00;615.00;91.99;43.99;40.95;18.50;400.00;328.00;415.00;595.00;260000.00;185.00;10.49;10.49;10.49;8.19
24.99;92.00;24.50;20.99;32.50;36.50;2800.00;27000.00;880.00;66.00;73.99;27.99;13000.00;58800.00;10500.00;156.00;206999.00;92.95;1100.00;4.25;6400.00;282.99;61.00;280.00;35.99;53.00;765.00;114.99;54.99;51.49;22.00;495.00;408.00;515.00;740.00;321000.00;230.00;12.49;12.49;12.49;8.49
29.99;108.00;28.99;24.99;38.99;43.95;3400.00;32000.00;1100.00;79.00;88.99;33.50;15500.00;70000.00;12400.00;187.00;245999.00;110.95;1300.00;4.95;7600.00;334.99;72.00;335.00;43.59;63.00;910.00;138.99;64.99;61.49;26.00;590.00;488.00;600.00;885.00;385000.00;270.00;14.49;14.99;14.99;10.49
